GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,periods,nshots0_n,nshots0_p,nshots1_n,nshots1_p,avg_singles,avg_singles_err,avg_doublons,avg_doublons_err,avg_dens,avg_dens_err,fit_dens,fit_dens_err,fit_singles,fit_singles_err,fit_doublons,fit_doublons_err,grad0,grad0_err,grad1,grad1_err,imaging_calibration,imaging_calibration_err,Bfield,singles_therm,singles_therm_err,corr_therm,corr_therm_err,nshot_therm,dataset
0.00334,0.0,10,74.0,76.0,78.0,79.0,0.8282017109243005,0.0028091286647892455,0.05172610137773118,0.0020086320288302604,0.9316539136797629,0.0025570012446884103,-0.05090471720517329,0.011777039315839734,-0.02213880142402855,0.005409628265482616,-0.015182658777184804,0.006074339012994983,-0.0008062852807752857,0.0001336510012888799,0.000754247615242818,0.00013380080155078232,0.9764863371235109,0.002140795482929821,590,0.8301534354772895,0.004023805294788706,-0.25089122389064666,0.008031628264803402,118,U8_Oct_21_p_83_cold
0.00334,0.0,12,78.0,77.0,79.0,79.0,0.8257458089289919,0.002330876865684552,0.05200768906651339,0.0025347106324543726,0.9297611870620186,0.004369148107466461,-0.04174267567648308,0.011609558235211677,-0.019687450097362134,0.005758940400561484,-0.008719084630031326,0.006374494193133957,-0.0008062852807752857,0.0001336510012888799,0.000754247615242818,0.00013380080155078232,0.9764863371235109,0.002140795482929821,590,0.8301534354772895,0.004023805294788706,-0.25089122389064666,0.008031628264803402,118,U8_Oct_21_p_83_cold
0.00334,0.0,16,80.0,79.0,79.0,78.0,0.8278298945324405,0.0024259135918134507,0.053710910157134806,0.0029270438412452447,0.9352517148467101,0.005206802660793455,-0.039140251227154414,0.011995629923625892,-0.030393310914764937,0.005870471932631252,-0.003764277334595595,0.00666957520953808,-0.0008062852807752857,0.0001336510012888799,0.000754247615242818,0.00013380080155078232,0.9764863371235109,0.002140795482929821,590,0.8301534354772895,0.004023805294788706,-0.25089122389064666,0.008031628264803402,118,U8_Oct_21_p_83_cold
0.00334,0.0,20,80.0,78.0,78.0,79.0,0.8255450381823787,0.0024110484715535044,0.05413326724082006,0.001852608956645352,0.9338115726640188,0.0025800318907273144,-0.038299225252181476,0.010401121940614641,-0.023160435498282766,0.004798515825919831,-0.004989823014250807,0.005888366817613097,-0.0008062852807752857,0.0001336510012888799,0.000754247615242818,0.00013380080155078232,0.9764863371235109,0.002140795482929821,590,0.8301534354772895,0.004023805294788706,-0.25089122389064666,0.008031628264803402,118,U8_Oct_21_p_83_cold
0.00334,0.0,4,78.0,80.0,76.0,78.0,0.8230301273517755,0.0030107209823305673,0.05577506919156337,0.0024309781258379163,0.9345802657349023,0.0035512174654443243,-0.011149799761330126,0.014145676485331448,-0.0016080435877528628,0.004837803321179111,-0.008310543361567113,0.006533668961490451,-0.0008062852807752857,0.0001336510012888799,0.000754247615242818,0.00013380080155078232,0.9764863371235109,0.002140795482929821,590,0.8301534354772895,0.004023805294788706,-0.25089122389064666,0.008031628264803402,118,U8_Oct_21_p_83_cold
0.00334,0.0,6,78.0,79.0,76.0,80.0,0.8244862517366844,0.002652924399498396,0.05760931612275864,0.001972675943601912,0.9397048839822018,0.0026464341968518504,-0.03448522644871632,0.012938422874741935,-0.022209975999575488,0.004955015423194619,-0.005625222379960247,0.006342247904207939,-0.0008062852807752857,0.0001336510012888799,0.000754247615242818,0.00013380080155078232,0.9764863371235109,0.002140795482929821,590,0.8301534354772895,0.004023805294788706,-0.25089122389064666,0.008031628264803402,118,U8_Oct_21_p_83_cold
0.00334,0.0,8,75.0,79.0,79.0,78.0,0.8264927434673986,0.003005348295593117,0.05397298077871894,0.0021172942777607645,0.9344387050248365,0.002635069157848929,-0.03105906432057986,0.013152026361359648,-0.03167527172410392,0.005698969229242268,-0.0022138881022344863,0.006451815790202016,-0.0008062852807752857,0.0001336510012888799,0.000754247615242818,0.00013380080155078232,0.9764863371235109,0.002140795482929821,590,0.8301534354772895,0.004023805294788706,-0.25089122389064666,0.008031628264803402,118,U8_Oct_21_p_83_cold
