shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,LocalVariables.XbarFrequency,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,LocalVariables.ImagingBlowOutID,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,LocalVariables.ShotTypeID,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.PhysicsSplitYInitialPower,LocalVariables.DMDID2,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,LocalVariables.ScanID4,GlobalLatticeVariables2.UnloadLatticeDMD1Power,LocalVariables.DMDID,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime
11,11,2025/10/21 22:45:51,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
12,12,2025/10/21 22:46:09,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
13,13,2025/10/21 22:46:27,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
14,14,2025/10/21 22:46:45,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
15,15,2025/10/21 22:47:03,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
16,16,2025/10/21 22:47:22,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
17,17,2025/10/21 22:47:40,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
18,18,2025/10/21 22:47:58,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
19,19,2025/10/21 22:48:16,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
20,20,2025/10/21 22:48:34,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
21,21,2025/10/21 22:48:52,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
22,22,2025/10/21 22:49:10,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
23,23,2025/10/21 22:49:29,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
24,24,2025/10/21 22:49:47,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
25,25,2025/10/21 22:50:05,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
26,26,2025/10/21 22:50:23,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
27,27,2025/10/21 22:50:41,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
28,28,2025/10/21 22:50:58,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
29,29,2025/10/21 22:51:15,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
30,30,2025/10/21 22:51:33,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
31,31,2025/10/21 22:51:50,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
32,32,2025/10/21 22:52:08,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
33,33,2025/10/21 22:52:27,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
34,34,2025/10/21 22:52:45,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
35,35,2025/10/21 22:53:03,0.975,773000000.0,228200000.0,0.03,0.0,0.03,0.215,0.0,0.005,0,0.2,0.0,0.032,2.9999999999999997e-05,10.0,100000.0,0.0225,0.001,0.01365,93.0,0.03,0.195,0.0,0.018000000000000002,0.0,0.0225,0.0,0.0315,1e-06,b'251016_dmd0_iterative_compensation.pkl',545.0,0.014,0.0225,0.1
