shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.ThirdDMD1RampPower,LocalVariables.ImagingBlowOutID
0,0,2025/06/12 14:13:04,0.002,0.0
1,1,2025/06/12 14:13:20,0.002,2.0
2,2,2025/06/12 14:13:37,0.002,1.0
3,3,2025/06/12 14:13:54,0.002,2.0
4,4,2025/06/12 14:14:12,0.002,1.0
5,5,2025/06/12 14:14:30,0.002,2.0
6,6,2025/06/12 14:14:48,0.002,1.0
7,7,2025/06/12 14:15:05,0.002,2.0
8,8,2025/06/12 14:15:22,0.002,1.0
9,9,2025/06/12 14:15:39,0.0022,0.0
10,10,2025/06/12 14:15:56,0.0022,1.0
11,11,2025/06/12 14:16:13,0.0022,2.0
12,12,2025/06/12 14:16:30,0.0022,1.0
13,13,2025/06/12 14:16:47,0.0022,2.0
14,14,2025/06/12 14:17:04,0.0022,1.0
15,15,2025/06/12 14:17:21,0.0022,2.0
16,16,2025/06/12 14:17:38,0.0022,1.0
17,17,2025/06/12 14:17:55,0.0022,2.0
18,18,2025/06/12 14:18:12,0.0024,0.0
19,19,2025/06/12 14:18:28,0.0024,2.0
20,20,2025/06/12 14:18:45,0.0024,1.0
21,21,2025/06/12 14:19:01,0.0024,2.0
22,22,2025/06/12 14:19:18,0.0024,1.0
23,23,2025/06/12 14:19:35,0.0024,2.0
24,24,2025/06/12 14:19:52,0.0024,1.0
25,25,2025/06/12 14:20:09,0.0024,2.0
26,26,2025/06/12 14:20:26,0.0024,1.0
27,27,2025/06/12 14:20:43,0.0026000000000000003,0.0
28,28,2025/06/12 14:20:59,0.0026000000000000003,1.0
29,29,2025/06/12 14:21:16,0.0026000000000000003,2.0
30,30,2025/06/12 14:21:32,0.0026000000000000003,1.0
31,31,2025/06/12 14:21:49,0.0026000000000000003,2.0
32,32,2025/06/12 14:22:05,0.0026000000000000003,1.0
33,33,2025/06/12 14:22:22,0.0026000000000000003,2.0
34,34,2025/06/12 14:22:39,0.0026000000000000003,1.0
35,35,2025/06/12 14:22:55,0.0026000000000000003,2.0
36,36,2025/06/12 14:23:12,0.0028,0.0
37,37,2025/06/12 14:23:29,0.0028,2.0
38,38,2025/06/12 14:23:46,0.0028,1.0
39,39,2025/06/12 14:24:02,0.0028,2.0
40,40,2025/06/12 14:24:19,0.0028,1.0
41,41,2025/06/12 14:24:36,0.0028,2.0
42,42,2025/06/12 14:24:53,0.0028,1.0
43,43,2025/06/12 14:25:10,0.0028,2.0
44,44,2025/06/12 14:25:27,0.0028,1.0
45,45,2025/06/12 14:25:44,0.002,0.0
46,46,2025/06/12 14:26:01,0.002,2.0
47,47,2025/06/12 14:26:18,0.002,1.0
48,48,2025/06/12 14:26:35,0.002,2.0
49,49,2025/06/12 14:26:52,0.002,1.0
50,50,2025/06/12 14:27:09,0.002,2.0
51,51,2025/06/12 14:27:25,0.002,1.0
52,52,2025/06/12 14:27:42,0.002,2.0
53,53,2025/06/12 14:27:58,0.002,1.0
54,54,2025/06/12 14:28:15,0.0022,0.0
55,55,2025/06/12 14:28:32,0.0022,1.0
56,56,2025/06/12 14:28:49,0.0022,2.0
57,57,2025/06/12 14:29:06,0.0022,1.0
58,58,2025/06/12 14:29:23,0.0022,2.0
59,59,2025/06/12 14:29:40,0.0022,1.0
60,60,2025/06/12 14:29:57,0.0022,2.0
61,61,2025/06/12 14:30:14,0.0022,1.0
62,62,2025/06/12 14:30:31,0.0022,2.0
63,63,2025/06/12 14:30:48,0.0024,0.0
64,64,2025/06/12 14:31:05,0.0024,2.0
65,65,2025/06/12 14:31:21,0.0024,1.0
66,66,2025/06/12 14:31:38,0.0024,2.0
67,67,2025/06/12 14:31:55,0.0024,1.0
68,68,2025/06/12 14:32:12,0.0024,2.0
69,69,2025/06/12 14:32:28,0.0024,1.0
70,70,2025/06/12 14:32:45,0.0024,2.0
71,71,2025/06/12 14:33:02,0.0024,1.0
72,72,2025/06/12 14:33:19,0.0026000000000000003,0.0
73,73,2025/06/12 14:33:36,0.0026000000000000003,1.0
74,74,2025/06/12 14:33:53,0.0026000000000000003,2.0
75,75,2025/06/12 14:34:10,0.0026000000000000003,1.0
76,76,2025/06/12 14:34:27,0.0026000000000000003,2.0
77,77,2025/06/12 14:34:43,0.0026000000000000003,1.0
78,78,2025/06/12 14:34:59,0.0026000000000000003,2.0
79,79,2025/06/12 14:35:16,0.0026000000000000003,1.0
80,80,2025/06/12 14:35:33,0.0026000000000000003,2.0
81,81,2025/06/12 14:35:49,0.0028,0.0
82,82,2025/06/12 14:36:06,0.0028,2.0
83,83,2025/06/12 14:36:22,0.0028,1.0
84,84,2025/06/12 14:36:38,0.0028,2.0
85,85,2025/06/12 14:36:55,0.0028,1.0
86,86,2025/06/12 14:37:12,0.0028,2.0
87,87,2025/06/12 14:37:30,0.0028,1.0
88,88,2025/06/12 14:37:47,0.0028,2.0
89,89,2025/06/12 14:38:04,0.0028,1.0
90,90,2025/06/12 14:38:21,0.002,0.0
91,91,2025/06/12 14:38:38,0.002,2.0
92,92,2025/06/12 14:38:55,0.002,1.0
93,93,2025/06/12 14:39:11,0.002,2.0
94,94,2025/06/12 14:39:28,0.002,1.0
95,95,2025/06/12 14:39:45,0.002,2.0
96,96,2025/06/12 14:40:02,0.002,1.0
97,97,2025/06/12 14:40:18,0.002,2.0
98,98,2025/06/12 14:40:35,0.002,1.0
99,99,2025/06/12 14:40:52,0.0022,0.0
100,100,2025/06/12 14:41:09,0.0022,1.0
101,101,2025/06/12 14:41:26,0.0022,2.0
102,102,2025/06/12 14:41:43,0.0022,1.0
103,103,2025/06/12 14:41:59,0.0022,2.0
104,104,2025/06/12 14:42:16,0.0022,1.0
105,105,2025/06/12 14:42:33,0.0022,2.0
106,106,2025/06/12 14:42:50,0.0022,1.0
107,107,2025/06/12 14:43:06,0.0022,2.0
108,108,2025/06/12 14:43:23,0.0024,0.0
109,109,2025/06/12 14:43:39,0.0024,2.0
110,110,2025/06/12 14:43:56,0.0024,1.0
111,111,2025/06/12 14:44:13,0.0024,2.0
112,112,2025/06/12 14:44:30,0.0024,1.0
113,113,2025/06/12 14:44:46,0.0024,2.0
114,114,2025/06/12 14:45:03,0.0024,1.0
115,115,2025/06/12 14:45:20,0.0024,2.0
116,116,2025/06/12 14:45:37,0.0024,1.0
117,117,2025/06/12 14:45:54,0.0026000000000000003,0.0
118,118,2025/06/12 14:46:11,0.0026000000000000003,1.0
119,119,2025/06/12 14:46:28,0.0026000000000000003,2.0
120,120,2025/06/12 14:46:45,0.0026000000000000003,1.0
121,121,2025/06/12 14:47:02,0.0026000000000000003,2.0
122,122,2025/06/12 14:47:18,0.0026000000000000003,1.0
123,123,2025/06/12 14:47:35,0.0026000000000000003,2.0
124,124,2025/06/12 14:47:52,0.0026000000000000003,1.0
125,125,2025/06/12 14:48:09,0.0026000000000000003,2.0
126,126,2025/06/12 14:48:27,0.0028,0.0
127,127,2025/06/12 14:48:44,0.0028,2.0
128,128,2025/06/12 14:49:01,0.0028,1.0
129,129,2025/06/12 14:49:18,0.0028,2.0
130,130,2025/06/12 14:49:35,0.0028,1.0
131,131,2025/06/12 14:49:51,0.0028,2.0
132,132,2025/06/12 14:50:08,0.0028,1.0
133,133,2025/06/12 14:50:24,0.0028,2.0
134,134,2025/06/12 14:50:40,0.0028,1.0
135,135,2025/06/12 14:50:57,0.002,0.0
136,136,2025/06/12 14:51:13,0.002,2.0
137,137,2025/06/12 14:51:29,0.002,1.0
138,138,2025/06/12 14:51:46,0.002,2.0
139,139,2025/06/12 14:52:02,0.002,1.0
140,140,2025/06/12 14:52:18,0.002,2.0
141,141,2025/06/12 14:52:35,0.002,1.0
142,142,2025/06/12 14:52:51,0.002,2.0
143,143,2025/06/12 14:53:07,0.002,1.0
144,144,2025/06/12 14:53:23,0.0022,0.0
145,145,2025/06/12 14:53:40,0.0022,1.0
146,146,2025/06/12 14:53:56,0.0022,2.0
147,147,2025/06/12 14:54:12,0.0022,1.0
148,148,2025/06/12 14:54:29,0.0022,2.0
149,149,2025/06/12 14:54:45,0.0022,1.0
150,150,2025/06/12 14:55:01,0.0022,2.0
151,151,2025/06/12 14:55:17,0.0022,1.0
152,152,2025/06/12 14:55:34,0.0022,2.0
153,153,2025/06/12 14:55:50,0.0024,0.0
154,154,2025/06/12 14:56:06,0.0024,2.0
155,155,2025/06/12 14:56:23,0.0024,1.0
156,156,2025/06/12 14:56:39,0.0024,2.0
157,157,2025/06/12 14:56:55,0.0024,1.0
158,158,2025/06/12 14:57:12,0.0024,2.0
159,159,2025/06/12 14:57:28,0.0024,1.0
160,160,2025/06/12 14:57:44,0.0024,2.0
161,161,2025/06/12 14:58:01,0.0024,1.0
162,162,2025/06/12 14:58:18,0.0026000000000000003,0.0
163,163,2025/06/12 14:58:34,0.0026000000000000003,1.0
164,164,2025/06/12 14:58:51,0.0026000000000000003,2.0
165,165,2025/06/12 14:59:07,0.0026000000000000003,1.0
166,166,2025/06/12 14:59:24,0.0026000000000000003,2.0
167,167,2025/06/12 14:59:40,0.0026000000000000003,1.0
168,168,2025/06/12 14:59:56,0.0026000000000000003,2.0
169,169,2025/06/12 15:00:13,0.0026000000000000003,1.0
170,170,2025/06/12 15:00:29,0.0026000000000000003,2.0
171,171,2025/06/12 15:00:45,0.0028,0.0
172,172,2025/06/12 15:01:01,0.0028,2.0
173,173,2025/06/12 15:01:18,0.0028,1.0
174,174,2025/06/12 15:01:34,0.0028,2.0
175,175,2025/06/12 15:01:50,0.0028,1.0
176,176,2025/06/12 15:02:07,0.0028,2.0
177,177,2025/06/12 15:02:23,0.0028,1.0
178,178,2025/06/12 15:02:39,0.0028,2.0
179,179,2025/06/12 15:02:55,0.0028,1.0
180,180,2025/06/12 15:03:13,0.002,0.0
181,181,2025/06/12 15:03:29,0.002,2.0
182,182,2025/06/12 15:03:45,0.002,1.0
183,183,2025/06/12 15:04:02,0.002,2.0
184,184,2025/06/12 15:04:18,0.002,1.0
185,185,2025/06/12 15:04:34,0.002,2.0
186,186,2025/06/12 15:04:50,0.002,1.0
187,187,2025/06/12 15:05:07,0.002,2.0
188,188,2025/06/12 15:05:23,0.002,1.0
189,189,2025/06/12 15:05:40,0.0022,0.0
190,190,2025/06/12 15:05:56,0.0022,1.0
191,191,2025/06/12 15:06:12,0.0022,2.0
192,192,2025/06/12 15:06:29,0.0022,1.0
193,193,2025/06/12 15:06:45,0.0022,2.0
194,194,2025/06/12 15:07:01,0.0022,1.0
195,195,2025/06/12 15:07:18,0.0022,2.0
196,196,2025/06/12 15:07:34,0.0022,1.0
197,197,2025/06/12 15:07:50,0.0022,2.0
198,198,2025/06/12 15:08:07,0.0024,0.0
199,199,2025/06/12 15:08:23,0.0024,2.0
200,200,2025/06/12 15:08:39,0.0024,1.0
201,201,2025/06/12 15:08:56,0.0024,2.0
202,202,2025/06/12 15:09:12,0.0024,1.0
203,203,2025/06/12 15:09:28,0.0024,2.0
204,204,2025/06/12 15:09:45,0.0024,1.0
205,205,2025/06/12 15:10:01,0.0024,2.0
206,206,2025/06/12 15:10:17,0.0024,1.0
207,207,2025/06/12 15:10:34,0.0026000000000000003,0.0
208,208,2025/06/12 15:10:50,0.0026000000000000003,1.0
209,209,2025/06/12 15:11:06,0.0026000000000000003,2.0
210,210,2025/06/12 15:11:23,0.0026000000000000003,1.0
211,211,2025/06/12 15:11:39,0.0026000000000000003,2.0
212,212,2025/06/12 15:11:55,0.0026000000000000003,1.0
213,213,2025/06/12 15:12:12,0.0026000000000000003,2.0
214,214,2025/06/12 15:12:28,0.0026000000000000003,1.0
215,215,2025/06/12 15:12:44,0.0026000000000000003,2.0
216,216,2025/06/12 15:13:01,0.0028,0.0
217,217,2025/06/12 15:13:17,0.0028,2.0
218,218,2025/06/12 15:13:33,0.0028,1.0
219,219,2025/06/12 15:13:50,0.0028,2.0
220,220,2025/06/12 15:14:06,0.0028,1.0
221,221,2025/06/12 15:14:23,0.0028,2.0
222,222,2025/06/12 15:14:39,0.0028,1.0
223,223,2025/06/12 15:14:55,0.0028,2.0
224,224,2025/06/12 15:15:12,0.0028,1.0
225,225,2025/06/12 15:15:28,0.002,0.0
226,226,2025/06/12 15:15:45,0.002,2.0
227,227,2025/06/12 15:16:01,0.002,1.0
228,228,2025/06/12 15:16:17,0.002,2.0
229,229,2025/06/12 15:16:34,0.002,1.0
230,230,2025/06/12 15:16:50,0.002,2.0
231,231,2025/06/12 15:17:06,0.002,1.0
232,232,2025/06/12 15:17:23,0.002,2.0
233,233,2025/06/12 15:17:39,0.002,1.0
234,234,2025/06/12 15:17:56,0.0022,0.0
235,235,2025/06/12 15:18:12,0.0022,1.0
236,236,2025/06/12 15:18:28,0.0022,2.0
237,237,2025/06/12 15:18:45,0.0022,1.0
238,238,2025/06/12 15:19:01,0.0022,2.0
239,239,2025/06/12 15:19:17,0.0022,1.0
240,240,2025/06/12 15:19:34,0.0022,2.0
241,241,2025/06/12 15:19:50,0.0022,1.0
242,242,2025/06/12 15:20:06,0.0022,2.0
243,243,2025/06/12 15:20:23,0.0024,0.0
244,244,2025/06/12 15:20:39,0.0024,2.0
245,245,2025/06/12 15:20:55,0.0024,1.0
246,246,2025/06/12 15:21:12,0.0024,2.0
247,247,2025/06/12 15:21:28,0.0024,1.0
248,248,2025/06/12 15:21:44,0.0024,2.0
249,249,2025/06/12 15:22:01,0.0024,1.0
250,250,2025/06/12 15:22:17,0.0024,2.0
251,251,2025/06/12 15:22:33,0.0024,1.0
252,252,2025/06/12 15:22:50,0.0026000000000000003,0.0
253,253,2025/06/12 15:23:06,0.0026000000000000003,1.0
254,254,2025/06/12 15:23:22,0.0026000000000000003,2.0
255,255,2025/06/12 15:23:38,0.0026000000000000003,1.0
256,256,2025/06/12 15:23:55,0.0026000000000000003,2.0
257,257,2025/06/12 15:24:11,0.0026000000000000003,1.0
258,258,2025/06/12 15:24:28,0.0026000000000000003,2.0
259,259,2025/06/12 15:24:44,0.0026000000000000003,1.0
260,260,2025/06/12 15:25:00,0.0026000000000000003,2.0
261,261,2025/06/12 15:25:17,0.0028,0.0
262,262,2025/06/12 15:25:33,0.0028,2.0
263,263,2025/06/12 15:25:49,0.0028,1.0
264,264,2025/06/12 15:26:06,0.0028,2.0
265,265,2025/06/12 15:26:22,0.0028,1.0
266,266,2025/06/12 15:26:38,0.0028,2.0
267,267,2025/06/12 15:26:55,0.0028,1.0
268,268,2025/06/12 15:27:11,0.0028,2.0
269,269,2025/06/12 15:27:28,0.0028,1.0
270,270,2025/06/12 15:27:46,0.002,0.0
271,271,2025/06/12 15:28:03,0.002,2.0
272,272,2025/06/12 15:28:19,0.002,1.0
273,273,2025/06/12 15:28:44,0.002,2.0
274,274,2025/06/12 15:29:00,0.002,1.0
275,275,2025/06/12 15:29:17,0.002,2.0
276,276,2025/06/12 15:29:35,0.002,1.0
277,277,2025/06/12 15:29:52,0.002,2.0
278,278,2025/06/12 15:30:09,0.002,1.0
279,279,2025/06/12 15:30:26,0.0022,0.0
280,280,2025/06/12 15:30:50,0.0022,1.0
281,281,2025/06/12 15:31:08,0.0022,2.0
282,282,2025/06/12 15:31:26,0.0022,1.0
283,283,2025/06/12 15:31:43,0.0022,2.0
284,284,2025/06/12 15:32:00,0.0022,1.0
285,285,2025/06/12 15:32:18,0.0022,2.0
286,286,2025/06/12 15:32:35,0.0022,1.0
287,287,2025/06/12 15:32:51,0.0022,2.0
288,288,2025/06/12 15:33:09,0.0024,0.0
289,289,2025/06/12 15:33:25,0.0024,2.0
290,290,2025/06/12 15:33:43,0.0024,1.0
291,291,2025/06/12 15:33:59,0.0024,2.0
292,292,2025/06/12 15:34:16,0.0024,1.0
293,293,2025/06/12 15:34:33,0.0024,2.0
294,294,2025/06/12 15:34:50,0.0024,1.0
295,295,2025/06/12 15:35:06,0.0024,2.0
296,296,2025/06/12 15:35:23,0.0024,1.0
297,297,2025/06/12 15:35:40,0.0026000000000000003,0.0
298,298,2025/06/12 15:35:57,0.0026000000000000003,1.0
299,299,2025/06/12 15:36:17,0.0026000000000000003,2.0
300,300,2025/06/12 15:36:33,0.0026000000000000003,1.0
301,301,2025/06/12 15:36:50,0.0026000000000000003,2.0
302,302,2025/06/12 15:37:08,0.0026000000000000003,1.0
303,303,2025/06/12 15:37:25,0.0026000000000000003,2.0
304,304,2025/06/12 15:37:42,0.0026000000000000003,1.0
305,305,2025/06/12 15:38:00,0.0026000000000000003,2.0
306,306,2025/06/12 15:38:17,0.0028,0.0
307,307,2025/06/12 15:38:34,0.0028,2.0
308,308,2025/06/12 15:38:51,0.0028,1.0
309,309,2025/06/12 15:39:19,0.0028,2.0
310,310,2025/06/12 15:39:36,0.0028,1.0
311,311,2025/06/12 15:39:52,0.0028,2.0
312,312,2025/06/12 15:40:09,0.0028,1.0
313,313,2025/06/12 15:40:26,0.0028,2.0
314,314,2025/06/12 15:40:45,0.0028,1.0
315,315,2025/06/12 15:41:02,0.002,0.0
316,316,2025/06/12 15:41:20,0.002,2.0
317,317,2025/06/12 15:41:39,0.002,1.0
318,318,2025/06/12 15:41:55,0.002,2.0
319,319,2025/06/12 15:42:12,0.002,1.0
320,320,2025/06/12 15:42:32,0.002,2.0
321,321,2025/06/12 15:42:52,0.002,1.0
322,322,2025/06/12 15:43:08,0.002,2.0
323,323,2025/06/12 15:43:26,0.002,1.0
324,324,2025/06/12 15:43:43,0.0022,0.0
325,325,2025/06/12 15:44:00,0.0022,1.0
326,326,2025/06/12 15:44:17,0.0022,2.0
327,327,2025/06/12 15:44:34,0.0022,1.0
328,328,2025/06/12 15:44:52,0.0022,2.0
329,329,2025/06/12 15:45:09,0.0022,1.0
330,330,2025/06/12 15:45:26,0.0022,2.0
331,331,2025/06/12 15:45:44,0.0022,1.0
332,332,2025/06/12 15:46:01,0.0022,2.0
333,333,2025/06/12 15:46:18,0.0024,0.0
334,334,2025/06/12 15:46:36,0.0024,2.0
335,335,2025/06/12 15:46:53,0.0024,1.0
336,336,2025/06/12 15:47:10,0.0024,2.0
337,337,2025/06/12 15:47:27,0.0024,1.0
338,338,2025/06/12 15:47:44,0.0024,2.0
339,339,2025/06/12 15:48:01,0.0024,1.0
340,340,2025/06/12 15:48:18,0.0024,2.0
341,341,2025/06/12 15:48:35,0.0024,1.0
342,342,2025/06/12 15:48:52,0.0026000000000000003,0.0
343,343,2025/06/12 15:49:10,0.0026000000000000003,1.0
344,344,2025/06/12 15:49:27,0.0026000000000000003,2.0
345,345,2025/06/12 15:49:43,0.0026000000000000003,1.0
346,346,2025/06/12 15:50:00,0.0026000000000000003,2.0
347,347,2025/06/12 15:50:16,0.0026000000000000003,1.0
348,348,2025/06/12 15:50:33,0.0026000000000000003,2.0
349,349,2025/06/12 15:50:50,0.0026000000000000003,1.0
350,350,2025/06/12 15:51:07,0.0026000000000000003,2.0
351,351,2025/06/12 15:51:24,0.0028,0.0
352,352,2025/06/12 15:51:41,0.0028,2.0
353,353,2025/06/12 15:51:58,0.0028,1.0
354,354,2025/06/12 15:52:15,0.0028,2.0
355,355,2025/06/12 15:52:32,0.0028,1.0
356,356,2025/06/12 15:52:50,0.0028,2.0
357,357,2025/06/12 15:53:07,0.0028,1.0
358,358,2025/06/12 15:53:24,0.0028,2.0
359,359,2025/06/12 15:53:42,0.0028,1.0
360,360,2025/06/12 15:53:59,0.002,0.0
361,361,2025/06/12 15:54:17,0.002,2.0
362,362,2025/06/12 15:54:34,0.002,1.0
363,363,2025/06/12 15:54:51,0.002,2.0
364,364,2025/06/12 15:55:08,0.002,1.0
365,365,2025/06/12 15:55:24,0.002,2.0
366,366,2025/06/12 15:55:42,0.002,1.0
367,367,2025/06/12 15:55:59,0.002,2.0
368,368,2025/06/12 15:56:16,0.002,1.0
369,369,2025/06/12 15:56:33,0.0022,0.0
370,370,2025/06/12 15:56:50,0.0022,1.0
371,371,2025/06/12 15:57:08,0.0022,2.0
372,372,2025/06/12 15:57:26,0.0022,1.0
373,373,2025/06/12 15:57:43,0.0022,2.0
374,374,2025/06/12 15:58:00,0.0022,1.0
375,375,2025/06/12 15:58:17,0.0022,2.0
376,376,2025/06/12 15:58:34,0.0022,1.0
377,377,2025/06/12 15:58:52,0.0022,2.0
378,378,2025/06/12 15:59:09,0.0024,0.0
379,379,2025/06/12 15:59:26,0.0024,2.0
380,380,2025/06/12 15:59:43,0.0024,1.0
381,381,2025/06/12 16:00:00,0.0024,2.0
382,382,2025/06/12 16:00:17,0.0024,1.0
383,383,2025/06/12 16:00:34,0.0024,2.0
384,384,2025/06/12 16:00:51,0.0024,1.0
385,385,2025/06/12 16:01:08,0.0024,2.0
386,386,2025/06/12 16:01:25,0.0024,1.0
387,387,2025/06/12 16:01:42,0.0026000000000000003,0.0
388,388,2025/06/12 16:01:59,0.0026000000000000003,1.0
389,389,2025/06/12 16:02:16,0.0026000000000000003,2.0
390,390,2025/06/12 16:02:34,0.0026000000000000003,1.0
391,391,2025/06/12 16:02:51,0.0026000000000000003,2.0
392,392,2025/06/12 16:03:08,0.0026000000000000003,1.0
393,393,2025/06/12 16:03:24,0.0026000000000000003,2.0
394,394,2025/06/12 16:03:42,0.0026000000000000003,1.0
395,395,2025/06/12 16:03:59,0.0026000000000000003,2.0
396,396,2025/06/12 16:04:16,0.0028,0.0
397,397,2025/06/12 16:04:33,0.0028,2.0
398,398,2025/06/12 16:04:50,0.0028,1.0
399,399,2025/06/12 16:05:07,0.0028,2.0
400,400,2025/06/12 16:05:24,0.0028,1.0
401,401,2025/06/12 16:05:41,0.0028,2.0
402,402,2025/06/12 16:05:58,0.0028,1.0
403,403,2025/06/12 16:06:16,0.0028,2.0
404,404,2025/06/12 16:06:33,0.0028,1.0
405,405,2025/06/12 16:06:49,0.002,0.0
406,406,2025/06/12 16:07:06,0.002,2.0
407,407,2025/06/12 16:07:23,0.002,1.0
408,408,2025/06/12 16:07:40,0.002,2.0
409,409,2025/06/12 16:07:57,0.002,1.0
410,410,2025/06/12 16:08:14,0.002,2.0
411,411,2025/06/12 16:08:31,0.002,1.0
412,412,2025/06/12 16:08:48,0.002,2.0
413,413,2025/06/12 16:09:04,0.002,1.0
414,414,2025/06/12 16:09:21,0.0022,0.0
415,415,2025/06/12 16:09:38,0.0022,1.0
416,416,2025/06/12 16:09:55,0.0022,2.0
417,417,2025/06/12 16:10:12,0.0022,1.0
418,418,2025/06/12 16:10:28,0.0022,2.0
419,419,2025/06/12 16:10:46,0.0022,1.0
420,420,2025/06/12 16:11:04,0.0022,2.0
421,421,2025/06/12 16:11:20,0.0022,1.0
422,422,2025/06/12 16:11:36,0.0022,2.0
423,423,2025/06/12 16:11:53,0.0024,0.0
424,424,2025/06/12 16:12:11,0.0024,2.0
425,425,2025/06/12 16:12:28,0.0024,1.0
426,426,2025/06/12 16:12:45,0.0024,2.0
427,427,2025/06/12 16:13:01,0.0024,1.0
428,428,2025/06/12 16:13:18,0.0024,2.0
429,429,2025/06/12 16:13:35,0.0024,1.0
430,430,2025/06/12 16:13:52,0.0024,2.0
431,431,2025/06/12 16:14:09,0.0024,1.0
432,432,2025/06/12 16:14:26,0.0026000000000000003,0.0
433,433,2025/06/12 16:14:43,0.0026000000000000003,1.0
434,434,2025/06/12 16:15:00,0.0026000000000000003,2.0
435,435,2025/06/12 16:15:17,0.0026000000000000003,1.0
436,436,2025/06/12 16:15:33,0.0026000000000000003,2.0
437,437,2025/06/12 16:15:50,0.0026000000000000003,1.0
438,438,2025/06/12 16:16:07,0.0026000000000000003,2.0
439,439,2025/06/12 16:16:24,0.0026000000000000003,1.0
