shot_idx,shot_start_time,LocalVariables.ImagingBlowOutID,LocalVariables.ShotTypeID,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalImagingVariables2.IsSkipSpinBlowOutLight,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning
0,2025/06/12 10:49:24,0.0,0.0,2.0,1,300.0
1,2025/06/12 10:49:40,2.0,1.0,2.0,0,527.0
2,2025/06/12 10:49:58,1.0,2.0,2.0,0,450.0
3,2025/06/12 10:50:17,2.0,3.0,2.0,0,527.0
4,2025/06/12 10:50:35,1.0,4.0,2.0,0,450.0
5,2025/06/12 10:50:52,2.0,5.0,2.0,0,527.0
6,2025/06/12 10:51:10,1.0,6.0,2.0,0,450.0
7,2025/06/12 10:51:27,2.0,7.0,2.0,0,527.0
8,2025/06/12 10:51:44,1.0,8.0,2.0,0,450.0
9,2025/06/12 10:52:01,0.0,9.0,2.2,1,300.0
10,2025/06/12 10:52:19,1.0,10.0,2.2,0,450.0
11,2025/06/12 10:52:36,2.0,11.0,2.2,0,527.0
12,2025/06/12 10:52:53,1.0,12.0,2.2,0,450.0
13,2025/06/12 10:53:10,2.0,13.0,2.2,0,527.0
14,2025/06/12 10:53:27,1.0,14.0,2.2,0,450.0
15,2025/06/12 10:53:44,2.0,14.999999999999998,2.2,0,527.0
16,2025/06/12 10:54:02,1.0,16.0,2.2,0,450.0
17,2025/06/12 10:54:19,2.0,17.0,2.2,0,527.0
18,2025/06/12 10:54:36,0.0,18.0,2.4,1,300.0
19,2025/06/12 10:54:52,2.0,19.0,2.4,0,527.0
20,2025/06/12 10:55:09,1.0,20.0,2.4,0,450.0
21,2025/06/12 10:55:25,2.0,21.0,2.4,0,527.0
22,2025/06/12 10:55:42,1.0,22.0,2.4,0,450.0
23,2025/06/12 10:55:59,2.0,23.0,2.4,0,527.0
24,2025/06/12 10:56:16,1.0,24.0,2.4,0,450.0
25,2025/06/12 10:56:34,2.0,25.000000000000004,2.4,0,527.0
26,2025/06/12 10:56:51,1.0,26.0,2.4,0,450.0
27,2025/06/12 10:57:08,0.0,27.0,2.6,1,300.0
28,2025/06/12 10:57:25,1.0,28.0,2.6,0,450.0
29,2025/06/12 10:57:42,2.0,29.0,2.6,0,527.0
30,2025/06/12 10:57:59,1.0,29.999999999999996,2.6,0,450.0
31,2025/06/12 10:58:16,2.0,31.0,2.6,0,527.0
32,2025/06/12 10:58:34,1.0,32.0,2.6,0,450.0
33,2025/06/12 10:58:51,2.0,33.0,2.6,0,527.0
34,2025/06/12 10:59:08,1.0,34.0,2.6,0,450.0
35,2025/06/12 10:59:25,2.0,35.0,2.6,0,527.0
36,2025/06/12 10:59:42,0.0,36.0,2.8,1,300.0
37,2025/06/12 10:59:59,2.0,37.0,2.8,0,527.0
38,2025/06/12 11:00:16,1.0,38.0,2.8,0,450.0
39,2025/06/12 11:00:34,2.0,39.0,2.8,0,527.0
40,2025/06/12 11:00:51,1.0,40.0,2.8,0,450.0
41,2025/06/12 11:01:08,2.0,41.0,2.8,0,527.0
42,2025/06/12 11:01:25,1.0,42.0,2.8,0,450.0
43,2025/06/12 11:01:42,2.0,43.0,2.8,0,527.0
44,2025/06/12 11:01:59,1.0,44.0,2.8,0,450.0
45,2025/06/12 11:02:17,0.0,0.0,2.0,1,300.0
46,2025/06/12 11:02:34,2.0,1.0,2.0,0,527.0
47,2025/06/12 11:02:51,1.0,2.0,2.0,0,450.0
48,2025/06/12 11:03:08,2.0,3.0,2.0,0,527.0
49,2025/06/12 11:03:25,1.0,4.0,2.0,0,450.0
50,2025/06/12 11:03:42,2.0,5.0,2.0,0,527.0
51,2025/06/12 11:03:59,1.0,6.0,2.0,0,450.0
52,2025/06/12 11:04:16,2.0,7.0,2.0,0,527.0
53,2025/06/12 11:04:33,1.0,8.0,2.0,0,450.0
54,2025/06/12 11:04:50,0.0,9.0,2.2,1,300.0
55,2025/06/12 11:05:08,1.0,10.0,2.2,0,450.0
56,2025/06/12 11:05:25,2.0,11.0,2.2,0,527.0
57,2025/06/12 11:05:42,1.0,12.0,2.2,0,450.0
58,2025/06/12 11:05:59,2.0,13.0,2.2,0,527.0
59,2025/06/12 11:06:16,1.0,14.0,2.2,0,450.0
60,2025/06/12 11:06:33,2.0,14.999999999999998,2.2,0,527.0
61,2025/06/12 11:06:51,1.0,16.0,2.2,0,450.0
62,2025/06/12 11:07:07,2.0,17.0,2.2,0,527.0
63,2025/06/12 11:07:24,0.0,18.0,2.4,1,300.0
64,2025/06/12 11:07:41,2.0,19.0,2.4,0,527.0
65,2025/06/12 11:07:59,1.0,20.0,2.4,0,450.0
66,2025/06/12 11:08:16,2.0,21.0,2.4,0,527.0
67,2025/06/12 11:08:33,1.0,22.0,2.4,0,450.0
68,2025/06/12 11:08:50,2.0,23.0,2.4,0,527.0
69,2025/06/12 11:09:07,1.0,24.0,2.4,0,450.0
70,2025/06/12 11:09:24,2.0,25.000000000000004,2.4,0,527.0
71,2025/06/12 11:09:41,1.0,26.0,2.4,0,450.0
72,2025/06/12 11:09:57,0.0,27.0,2.6,1,300.0
73,2025/06/12 11:10:14,1.0,28.0,2.6,0,450.0
74,2025/06/12 11:10:31,2.0,29.0,2.6,0,527.0
75,2025/06/12 11:10:48,1.0,29.999999999999996,2.6,0,450.0
76,2025/06/12 11:11:06,2.0,31.0,2.6,0,527.0
77,2025/06/12 11:11:23,1.0,32.0,2.6,0,450.0
78,2025/06/12 11:11:40,2.0,33.0,2.6,0,527.0
79,2025/06/12 11:11:57,1.0,34.0,2.6,0,450.0
80,2025/06/12 11:12:14,2.0,35.0,2.6,0,527.0
81,2025/06/12 11:12:31,0.0,36.0,2.8,1,300.0
82,2025/06/12 11:12:49,2.0,37.0,2.8,0,527.0
83,2025/06/12 11:13:06,1.0,38.0,2.8,0,450.0
84,2025/06/12 11:13:23,2.0,39.0,2.8,0,527.0
85,2025/06/12 11:13:40,1.0,40.0,2.8,0,450.0
86,2025/06/12 11:13:58,2.0,41.0,2.8,0,527.0
87,2025/06/12 11:14:15,1.0,42.0,2.8,0,450.0
88,2025/06/12 11:14:32,2.0,43.0,2.8,0,527.0
89,2025/06/12 11:14:48,1.0,44.0,2.8,0,450.0
90,2025/06/12 11:15:06,0.0,0.0,2.0,1,300.0
91,2025/06/12 11:15:23,2.0,1.0,2.0,0,527.0
92,2025/06/12 11:15:40,1.0,2.0,2.0,0,450.0
93,2025/06/12 11:15:56,2.0,3.0,2.0,0,527.0
94,2025/06/12 11:16:13,1.0,4.0,2.0,0,450.0
95,2025/06/12 11:16:30,2.0,5.0,2.0,0,527.0
96,2025/06/12 11:16:47,1.0,6.0,2.0,0,450.0
97,2025/06/12 11:17:04,2.0,7.0,2.0,0,527.0
98,2025/06/12 11:17:21,1.0,8.0,2.0,0,450.0
99,2025/06/12 11:17:38,0.0,9.0,2.2,1,300.0
100,2025/06/12 11:17:55,1.0,10.0,2.2,0,450.0
101,2025/06/12 11:18:12,2.0,11.0,2.2,0,527.0
102,2025/06/12 11:18:29,1.0,12.0,2.2,0,450.0
103,2025/06/12 11:18:45,2.0,13.0,2.2,0,527.0
104,2025/06/12 11:19:03,1.0,14.0,2.2,0,450.0
105,2025/06/12 11:19:20,2.0,14.999999999999998,2.2,0,527.0
106,2025/06/12 11:19:37,1.0,16.0,2.2,0,450.0
107,2025/06/12 11:19:54,2.0,17.0,2.2,0,527.0
108,2025/06/12 11:20:10,0.0,18.0,2.4,1,300.0
109,2025/06/12 11:20:27,2.0,19.0,2.4,0,527.0
110,2025/06/12 11:20:45,1.0,20.0,2.4,0,450.0
111,2025/06/12 11:21:02,2.0,21.0,2.4,0,527.0
112,2025/06/12 11:21:18,1.0,22.0,2.4,0,450.0
113,2025/06/12 11:21:36,2.0,23.0,2.4,0,527.0
114,2025/06/12 11:21:54,1.0,24.0,2.4,0,450.0
115,2025/06/12 11:22:11,2.0,25.000000000000004,2.4,0,527.0
116,2025/06/12 11:22:28,1.0,26.0,2.4,0,450.0
117,2025/06/12 11:22:45,0.0,27.0,2.6,1,300.0
118,2025/06/12 11:23:03,1.0,28.0,2.6,0,450.0
119,2025/06/12 11:23:19,2.0,29.0,2.6,0,527.0
120,2025/06/12 11:23:36,1.0,29.999999999999996,2.6,0,450.0
121,2025/06/12 11:23:52,2.0,31.0,2.6,0,527.0
122,2025/06/12 11:24:09,1.0,32.0,2.6,0,450.0
123,2025/06/12 11:24:26,2.0,33.0,2.6,0,527.0
124,2025/06/12 11:24:44,1.0,34.0,2.6,0,450.0
125,2025/06/12 11:25:01,2.0,35.0,2.6,0,527.0
126,2025/06/12 11:25:18,0.0,36.0,2.8,1,300.0
127,2025/06/12 11:25:35,2.0,37.0,2.8,0,527.0
128,2025/06/12 11:25:51,1.0,38.0,2.8,0,450.0
129,2025/06/12 11:26:08,2.0,39.0,2.8,0,527.0
130,2025/06/12 11:26:24,1.0,40.0,2.8,0,450.0
131,2025/06/12 11:26:41,2.0,41.0,2.8,0,527.0
132,2025/06/12 11:26:57,1.0,42.0,2.8,0,450.0
133,2025/06/12 11:27:14,2.0,43.0,2.8,0,527.0
134,2025/06/12 11:27:31,1.0,44.0,2.8,0,450.0
135,2025/06/12 11:27:48,0.0,0.0,2.0,1,300.0
136,2025/06/12 11:28:05,2.0,1.0,2.0,0,527.0
137,2025/06/12 11:28:22,1.0,2.0,2.0,0,450.0
138,2025/06/12 11:28:39,2.0,3.0,2.0,0,527.0
139,2025/06/12 11:28:56,1.0,4.0,2.0,0,450.0
140,2025/06/12 11:29:13,2.0,5.0,2.0,0,527.0
141,2025/06/12 11:29:30,1.0,6.0,2.0,0,450.0
142,2025/06/12 11:29:47,2.0,7.0,2.0,0,527.0
143,2025/06/12 11:30:04,1.0,8.0,2.0,0,450.0
144,2025/06/12 11:30:20,0.0,9.0,2.2,1,300.0
145,2025/06/12 11:30:36,1.0,10.0,2.2,0,450.0
146,2025/06/12 11:30:53,2.0,11.0,2.2,0,527.0
147,2025/06/12 11:31:09,1.0,12.0,2.2,0,450.0
148,2025/06/12 11:31:25,2.0,13.0,2.2,0,527.0
149,2025/06/12 11:31:42,1.0,14.0,2.2,0,450.0
150,2025/06/12 11:31:58,2.0,14.999999999999998,2.2,0,527.0
151,2025/06/12 11:32:14,1.0,16.0,2.2,0,450.0
152,2025/06/12 11:32:31,2.0,17.0,2.2,0,527.0
153,2025/06/12 11:32:47,0.0,18.0,2.4,1,300.0
154,2025/06/12 11:33:03,2.0,19.0,2.4,0,527.0
155,2025/06/12 11:33:20,1.0,20.0,2.4,0,450.0
156,2025/06/12 11:33:36,2.0,21.0,2.4,0,527.0
157,2025/06/12 11:33:52,1.0,22.0,2.4,0,450.0
158,2025/06/12 11:34:09,2.0,23.0,2.4,0,527.0
159,2025/06/12 11:34:25,1.0,24.0,2.4,0,450.0
160,2025/06/12 11:34:41,2.0,25.000000000000004,2.4,0,527.0
161,2025/06/12 11:34:57,1.0,26.0,2.4,0,450.0
