shot_idx,shot_serial,shot_start_time,LocalVariables.XbarFrequency,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,LocalVariables.ScanID4,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,LocalVariables.ShotTypeID,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,LocalVariables.DMDID2,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.ThirdDMD1RampPower,LocalVariables.DMDID,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency
395,395,2025/03/22 02:31:43,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,8.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
396,396,2025/03/22 02:32:02,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,0.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,0.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
397,397,2025/03/22 02:32:20,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,1.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
398,398,2025/03/22 02:32:39,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,2.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
399,399,2025/03/22 02:32:59,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,3.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
400,400,2025/03/22 02:33:18,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,4.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
401,401,2025/03/22 02:33:36,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,5.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
402,402,2025/03/22 02:33:56,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,6.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
403,403,2025/03/22 02:34:15,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,7.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
404,404,2025/03/22 02:34:34,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,8.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
405,405,2025/03/22 02:34:53,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,0.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,0.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
406,406,2025/03/22 02:35:12,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,1.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
407,407,2025/03/22 02:35:31,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,2.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
408,408,2025/03/22 02:35:50,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,3.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
409,409,2025/03/22 02:36:08,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,4.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
410,410,2025/03/22 02:36:26,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,5.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
411,411,2025/03/22 02:36:44,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,6.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
412,412,2025/03/22 02:37:02,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,7.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
413,413,2025/03/22 02:37:20,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,8.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
414,414,2025/03/22 02:37:38,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,0.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,0.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
415,415,2025/03/22 02:37:56,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,1.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
416,416,2025/03/22 02:38:14,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,2.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
417,417,2025/03/22 02:38:33,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,3.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
418,418,2025/03/22 02:38:51,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,4.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
419,419,2025/03/22 02:39:09,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,5.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
420,420,2025/03/22 02:39:27,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,6.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
421,421,2025/03/22 02:39:45,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,7.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
422,422,2025/03/22 02:40:03,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,8.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
423,423,2025/03/22 02:40:21,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,0.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,0.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
424,424,2025/03/22 02:40:40,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,1.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
425,425,2025/03/22 02:40:58,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,2.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
426,426,2025/03/22 02:41:16,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,3.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
427,427,2025/03/22 02:41:34,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,4.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
428,428,2025/03/22 02:41:52,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,5.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
429,429,2025/03/22 02:42:10,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,6.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
430,430,2025/03/22 02:42:28,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,7.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
431,431,2025/03/22 02:42:47,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,8.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
432,432,2025/03/22 02:43:05,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,0.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,0.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
433,433,2025/03/22 02:43:23,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,1.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
434,434,2025/03/22 02:43:41,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,2.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
435,435,2025/03/22 02:43:59,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,3.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
436,436,2025/03/22 02:44:18,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,4.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
437,437,2025/03/22 02:44:36,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,5.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
438,438,2025/03/22 02:44:54,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,6.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
439,439,2025/03/22 02:45:13,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,7.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
440,440,2025/03/22 02:45:31,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,8.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
441,441,2025/03/22 02:45:49,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,0.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,0.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
442,442,2025/03/22 02:46:07,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,1.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
443,443,2025/03/22 02:46:25,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,2.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
444,444,2025/03/22 02:46:43,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,3.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
445,445,2025/03/22 02:47:02,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,4.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
446,446,2025/03/22 02:47:20,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,5.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
447,447,2025/03/22 02:47:38,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,6.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
448,448,2025/03/22 02:47:56,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,7.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
449,449,2025/03/22 02:48:15,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,8.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
450,450,2025/03/22 02:48:33,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,0.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,0.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
451,451,2025/03/22 02:48:51,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,1.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
452,452,2025/03/22 02:49:09,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,2.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
453,453,2025/03/22 02:49:28,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,3.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
454,454,2025/03/22 02:49:46,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,4.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
455,455,2025/03/22 02:50:04,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,5.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
456,456,2025/03/22 02:50:22,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,6.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
457,457,2025/03/22 02:50:40,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,7.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
458,458,2025/03/22 02:50:58,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,8.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
459,459,2025/03/22 02:51:16,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,0.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,0.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
460,460,2025/03/22 02:51:35,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,1.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
461,461,2025/03/22 02:51:53,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,2.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
462,462,2025/03/22 02:52:11,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,3.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
463,463,2025/03/22 02:52:29,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,4.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
464,464,2025/03/22 02:52:47,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,5.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
465,465,2025/03/22 02:53:05,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,6.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
466,466,2025/03/22 02:53:24,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,7.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
467,467,2025/03/22 02:53:42,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,8.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,1.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
468,468,2025/03/22 02:54:00,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,0.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,0.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
469,469,2025/03/22 02:54:18,773.0,22.0,93.0,0.975,100.0,12.0,28.0,0.0,30.0,b'250316_dmd0_iterative_compensation_pinning.pkl',18.0,228.2,1.0,35.0,5.0,0,174.746,0.0,200.0,14.0,0.0,2.0,0.0,7.26,1.8,0.0,30.0,1.0,590.0,10.0,163.4945,14.0,10.0,100.0
