shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.ThirdDMD1RampPower,LocalVariables.ImagingBlowOutID
0,0,2025/06/10 16:55:13,0.0024,0.0
1,1,2025/06/10 16:55:29,0.0024,2.0
2,2,2025/06/10 16:55:47,0.0024,1.0
3,3,2025/06/10 16:56:04,0.0024,2.0
4,4,2025/06/10 16:56:21,0.0024,1.0
5,5,2025/06/10 16:56:38,0.0024,2.0
6,6,2025/06/10 16:56:56,0.0024,1.0
7,7,2025/06/10 16:57:13,0.0024,2.0
8,8,2025/06/10 16:57:33,0.0024,1.0
9,9,2025/06/10 16:57:52,0.0024,0.0
10,10,2025/06/10 16:58:11,0.0024,2.0
11,11,2025/06/10 16:58:30,0.0024,1.0
12,12,2025/06/10 16:58:47,0.0024,2.0
13,13,2025/06/10 16:59:05,0.0024,1.0
14,14,2025/06/10 16:59:22,0.0024,2.0
15,15,2025/06/10 16:59:39,0.0024,1.0
16,16,2025/06/10 16:59:57,0.0024,2.0
17,17,2025/06/10 17:00:15,0.0024,1.0
18,18,2025/06/10 17:00:33,0.0024,0.0
19,19,2025/06/10 17:00:50,0.0024,2.0
20,20,2025/06/10 17:01:07,0.0024,1.0
21,21,2025/06/10 17:01:25,0.0024,2.0
22,22,2025/06/10 17:01:43,0.0024,1.0
23,23,2025/06/10 17:02:01,0.0024,2.0
24,24,2025/06/10 17:02:19,0.0024,1.0
25,25,2025/06/10 17:02:35,0.0024,2.0
26,26,2025/06/10 17:02:53,0.0024,1.0
27,27,2025/06/10 17:03:11,0.0024,0.0
28,28,2025/06/10 17:03:29,0.0024,2.0
29,29,2025/06/10 17:03:47,0.0024,1.0
30,30,2025/06/10 17:04:04,0.0024,2.0
31,31,2025/06/10 17:04:22,0.0024,1.0
32,32,2025/06/10 17:04:40,0.0024,2.0
33,33,2025/06/10 17:04:58,0.0024,1.0
34,34,2025/06/10 17:05:15,0.0024,2.0
35,35,2025/06/10 17:05:33,0.0024,1.0
36,36,2025/06/10 17:05:51,0.0024,0.0
37,37,2025/06/10 17:06:08,0.0024,2.0
38,38,2025/06/10 17:06:24,0.0024,1.0
39,39,2025/06/10 17:06:41,0.0024,2.0
40,40,2025/06/10 17:07:00,0.0024,1.0
41,41,2025/06/10 17:07:17,0.0024,2.0
42,42,2025/06/10 17:07:35,0.0024,1.0
43,43,2025/06/10 17:07:53,0.0024,2.0
44,44,2025/06/10 17:08:09,0.0024,1.0
45,45,2025/06/10 17:08:26,0.0024,0.0
46,46,2025/06/10 17:08:43,0.0024,2.0
47,47,2025/06/10 17:09:00,0.0024,1.0
48,48,2025/06/10 17:09:17,0.0024,2.0
49,49,2025/06/10 17:09:34,0.0024,1.0
50,50,2025/06/10 17:09:52,0.0024,2.0
51,51,2025/06/10 17:10:08,0.0024,1.0
52,52,2025/06/10 17:10:25,0.0024,2.0
53,53,2025/06/10 17:10:42,0.0024,1.0
54,54,2025/06/10 17:10:59,0.0024,0.0
55,55,2025/06/10 17:11:16,0.0024,2.0
56,56,2025/06/10 17:11:33,0.0024,1.0
57,57,2025/06/10 17:11:51,0.0024,2.0
58,58,2025/06/10 17:12:08,0.0024,1.0
59,59,2025/06/10 17:12:25,0.0024,2.0
60,60,2025/06/10 17:12:42,0.0024,1.0
61,61,2025/06/10 17:13:00,0.0024,2.0
62,62,2025/06/10 17:13:17,0.0024,1.0
63,63,2025/06/10 17:13:34,0.0024,0.0
64,64,2025/06/10 17:13:51,0.0024,2.0
65,65,2025/06/10 17:14:10,0.0024,1.0
66,66,2025/06/10 17:14:28,0.0024,2.0
67,67,2025/06/10 17:14:45,0.0024,1.0
68,68,2025/06/10 17:15:02,0.0024,2.0
69,69,2025/06/10 17:15:19,0.0024,1.0
