shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.LoadWithDmd1InitialPower,LocalVariables.ScanID4,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,LocalVariables.DMDID,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LatticeFreezeRampTime,LocalVariables.DMDID2,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,LocalVariables.ShotTypeID,LocalVariables.XbarFrequency,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.PhysicsSplitYInitialPower
23,23,2025/03/23 06:20:30,12.0,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0,200.0,0.0,174.746,93.0,30.0,0.0,0.0,14.0,14.0,28.0,100.0,30.0,18.0,8.64,100.0,5.0,773.0,10.0,1.0,5.0,0.975,35.0,590.0,10.0,228.2,22.0,2.0,0.0,163.4945
24,24,2025/03/23 06:20:49,12.0,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0,200.0,0.0,174.746,93.0,30.0,0.0,0.0,14.0,14.0,28.0,100.0,30.0,18.0,8.64,100.0,6.0,773.0,10.0,1.0,5.0,0.975,35.0,590.0,10.0,228.2,22.0,1.0,0.0,163.4945
25,25,2025/03/23 06:21:08,12.0,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0,200.0,0.0,174.746,93.0,30.0,0.0,0.0,14.0,14.0,28.0,100.0,30.0,18.0,8.64,100.0,7.0,773.0,10.0,1.0,5.0,0.975,35.0,590.0,10.0,228.2,22.0,2.0,0.0,163.4945
26,26,2025/03/23 06:21:27,12.0,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0,200.0,0.0,174.746,93.0,30.0,0.0,0.0,14.0,14.0,28.0,100.0,30.0,18.0,8.64,100.0,8.0,773.0,10.0,1.0,5.0,0.975,35.0,590.0,10.0,228.2,22.0,1.0,0.0,163.4945
27,27,2025/03/23 06:21:45,12.0,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0,200.0,0.0,174.746,93.0,30.0,0.0,0.0,14.0,14.0,28.0,100.0,30.0,18.0,8.64,100.0,0.0,773.0,10.0,1.0,5.0,0.975,35.0,590.0,10.0,228.2,22.0,0.0,0.0,163.4945
28,28,2025/03/23 06:22:04,12.0,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0,200.0,0.0,174.746,93.0,30.0,0.0,0.0,14.0,14.0,28.0,100.0,30.0,18.0,8.64,100.0,1.0,773.0,10.0,1.0,5.0,0.975,35.0,590.0,10.0,228.2,22.0,2.0,0.0,163.4945
29,29,2025/03/23 06:22:23,12.0,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0,200.0,0.0,174.746,93.0,30.0,0.0,0.0,14.0,14.0,28.0,100.0,30.0,18.0,8.64,100.0,2.0,773.0,10.0,1.0,5.0,0.975,35.0,590.0,10.0,228.2,22.0,1.0,0.0,163.4945
30,30,2025/03/23 06:22:42,12.0,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0,200.0,0.0,174.746,93.0,30.0,0.0,0.0,14.0,14.0,28.0,100.0,30.0,18.0,8.64,100.0,3.0,773.0,10.0,1.0,5.0,0.975,35.0,590.0,10.0,228.2,22.0,2.0,0.0,163.4945
31,31,2025/03/23 06:23:00,12.0,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0,200.0,0.0,174.746,93.0,30.0,0.0,0.0,14.0,14.0,28.0,100.0,30.0,18.0,8.64,100.0,4.0,773.0,10.0,1.0,5.0,0.975,35.0,590.0,10.0,228.2,22.0,1.0,0.0,163.4945
32,32,2025/03/23 06:23:19,12.0,0.0,1.8,b'250316_dmd0_iterative_compensation_pinning.pkl',0,200.0,0.0,174.746,93.0,30.0,0.0,0.0,14.0,14.0,28.0,100.0,30.0,18.0,8.64,100.0,5.0,773.0,10.0,1.0,5.0,0.975,35.0,590.0,10.0,228.2,22.0,2.0,0.0,163.4945
