shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,LocalVariables.XbarFrequency,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalPulseVariables2.LatticeMicrowaveFrequency,LocalVariables.DMDID2,LocalVariables.DMDID,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.FourthDMD0RampPower,LocalVariables.ShotTypeID,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,LocalVariables.ImagingBlowOutID,LocalVariables.ScanID4,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power
13,13,2025/03/16 05:33:02,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,4.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',1.0,0.0,14.0
14,14,2025/03/16 05:33:20,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,5.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',2.0,0.0,14.0
15,15,2025/03/16 05:33:38,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,6.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',1.0,0.0,14.0
16,16,2025/03/16 05:33:56,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,7.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',2.0,0.0,14.0
17,17,2025/03/16 05:34:14,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,8.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',1.0,0.0,14.0
18,18,2025/03/16 05:34:32,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,0.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',0.0,0.0,14.0
19,19,2025/03/16 05:34:51,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,1.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',2.0,0.0,14.0
20,20,2025/03/16 05:35:09,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,2.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',1.0,0.0,14.0
21,21,2025/03/16 05:35:27,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,3.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',2.0,0.0,14.0
22,22,2025/03/16 05:35:45,590.0,22.0,2.1,163.4945,10.0,0.0,12.0,35.0,0.975,200.0,18.0,773.0,10.0,30.0,0,100.0,30.0,5.0,228.2,0.0,0.0,14.0,1.0,174.746,7.26,4.0,93.0,0.0,100.0,28.0,b'250313_dmd0_iterative_compensation_pinning.pkl',1.0,0.0,14.0
