shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.UnloadLatticeDMD1Power,LocalVariables.DMDID2,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.ScanID4,LocalVariables.DMDID,GlobalLatticeVariables2.Dmd0SecondPatternFilename,LocalVariables.XbarFrequency,GlobalPulseVariables2.LatticeMicrowaveFrequency,LocalVariables.ShotTypeID,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower
53,53,2025/03/23 20:31:57,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,8.0,590.0,174.746
54,54,2025/03/23 20:32:15,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,0.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,0.0,590.0,174.746
55,55,2025/03/23 20:32:33,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,1.0,590.0,174.746
56,56,2025/03/23 20:32:51,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,2.0,590.0,174.746
57,57,2025/03/23 20:33:10,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,3.0,590.0,174.746
58,58,2025/03/23 20:33:28,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,4.0,590.0,174.746
59,59,2025/03/23 20:33:46,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,5.0,590.0,174.746
60,60,2025/03/23 20:34:04,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,6.0,590.0,174.746
61,61,2025/03/23 20:34:22,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,7.0,590.0,174.746
62,62,2025/03/23 20:34:40,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,8.0,590.0,174.746
63,63,2025/03/23 20:34:58,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,0.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,0.0,590.0,174.746
64,64,2025/03/23 20:35:16,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,1.0,590.0,174.746
65,65,2025/03/23 20:35:34,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,2.0,590.0,174.746
66,66,2025/03/23 20:35:52,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,3.0,590.0,174.746
67,67,2025/03/23 20:36:11,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,4.0,590.0,174.746
68,68,2025/03/23 20:36:29,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,5.0,590.0,174.746
69,69,2025/03/23 20:36:47,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,6.0,590.0,174.746
70,70,2025/03/23 20:37:06,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,7.0,590.0,174.746
71,71,2025/03/23 20:37:24,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,8.0,590.0,174.746
72,72,2025/03/23 20:37:42,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,0.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,0.0,590.0,174.746
73,73,2025/03/23 20:38:00,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,1.0,590.0,174.746
74,74,2025/03/23 20:38:18,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,2.0,590.0,174.746
75,75,2025/03/23 20:38:37,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,3.0,590.0,174.746
76,76,2025/03/23 20:38:55,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,4.0,590.0,174.746
77,77,2025/03/23 20:39:13,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,5.0,590.0,174.746
78,78,2025/03/23 20:39:31,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,6.0,590.0,174.746
79,79,2025/03/23 20:39:49,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,7.0,590.0,174.746
80,80,2025/03/23 20:40:07,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,8.0,590.0,174.746
81,81,2025/03/23 20:40:25,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,0.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,0.0,590.0,174.746
82,82,2025/03/23 20:40:44,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,1.0,590.0,174.746
83,83,2025/03/23 20:41:02,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,2.0,590.0,174.746
84,84,2025/03/23 20:41:20,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,3.0,590.0,174.746
85,85,2025/03/23 20:41:38,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,4.0,590.0,174.746
86,86,2025/03/23 20:41:56,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,5.0,590.0,174.746
87,87,2025/03/23 20:42:14,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,6.0,590.0,174.746
88,88,2025/03/23 20:42:32,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,7.0,590.0,174.746
89,89,2025/03/23 20:42:50,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,8.0,590.0,174.746
90,90,2025/03/23 20:43:09,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,0.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,0.0,590.0,174.746
91,91,2025/03/23 20:43:27,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,1.0,590.0,174.746
92,92,2025/03/23 20:43:45,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,2.0,590.0,174.746
93,93,2025/03/23 20:44:03,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,3.0,590.0,174.746
94,94,2025/03/23 20:44:21,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,4.0,590.0,174.746
95,95,2025/03/23 20:44:39,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,5.0,590.0,174.746
96,96,2025/03/23 20:44:57,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,6.0,590.0,174.746
97,97,2025/03/23 20:45:15,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,7.0,590.0,174.746
98,98,2025/03/23 20:45:34,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,8.0,590.0,174.746
99,99,2025/03/23 20:45:52,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,0.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,0.0,590.0,174.746
100,100,2025/03/23 20:46:10,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,1.0,590.0,174.746
101,101,2025/03/23 20:46:28,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,2.0,590.0,174.746
102,102,2025/03/23 20:46:46,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,3.0,590.0,174.746
103,103,2025/03/23 20:47:04,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,4.0,590.0,174.746
104,104,2025/03/23 20:47:22,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,5.0,590.0,174.746
105,105,2025/03/23 20:47:40,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,6.0,590.0,174.746
106,106,2025/03/23 20:47:58,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,7.0,590.0,174.746
107,107,2025/03/23 20:48:16,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,8.0,590.0,174.746
108,108,2025/03/23 20:48:34,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,0.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,0.0,590.0,174.746
109,109,2025/03/23 20:48:52,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,1.0,590.0,174.746
110,110,2025/03/23 20:49:11,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,2.0,590.0,174.746
111,111,2025/03/23 20:49:29,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,3.0,590.0,174.746
112,112,2025/03/23 20:49:47,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,4.0,590.0,174.746
113,113,2025/03/23 20:50:05,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,5.0,590.0,174.746
114,114,2025/03/23 20:50:23,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,6.0,590.0,174.746
115,115,2025/03/23 20:50:41,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,7.0,590.0,174.746
116,116,2025/03/23 20:51:00,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,8.0,590.0,174.746
117,117,2025/03/23 20:51:18,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,0.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,0.0,590.0,174.746
118,118,2025/03/23 20:51:36,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,1.0,590.0,174.746
119,119,2025/03/23 20:51:54,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,2.0,590.0,174.746
120,120,2025/03/23 20:52:12,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,3.0,590.0,174.746
121,121,2025/03/23 20:52:30,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,4.0,590.0,174.746
122,122,2025/03/23 20:52:48,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,5.0,590.0,174.746
123,123,2025/03/23 20:53:06,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,6.0,590.0,174.746
124,124,2025/03/23 20:53:25,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,7.0,590.0,174.746
125,125,2025/03/23 20:53:43,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,8.0,590.0,174.746
126,126,2025/03/23 20:54:01,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,0.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,0.0,590.0,174.746
127,127,2025/03/23 20:54:19,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,1.0,590.0,174.746
