shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.UnloadLatticeDMD1Power,LocalVariables.DMDID2,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.ScanID4,LocalVariables.DMDID,GlobalLatticeVariables2.Dmd0SecondPatternFilename,LocalVariables.XbarFrequency,GlobalPulseVariables2.LatticeMicrowaveFrequency,LocalVariables.ShotTypeID,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower
13,13,2025/03/23 20:19:51,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,4.0,590.0,174.746
14,14,2025/03/23 20:20:09,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,5.0,590.0,174.746
15,15,2025/03/23 20:20:27,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,6.0,590.0,174.746
16,16,2025/03/23 20:20:46,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,7.0,590.0,174.746
17,17,2025/03/23 20:21:04,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,8.0,590.0,174.746
18,18,2025/03/23 20:21:22,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,0.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,0.0,590.0,174.746
19,19,2025/03/23 20:21:40,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,1.0,590.0,174.746
20,20,2025/03/23 20:21:58,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,2.0,590.0,174.746
21,21,2025/03/23 20:22:17,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,3.0,590.0,174.746
22,22,2025/03/23 20:22:35,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,4.0,590.0,174.746
23,23,2025/03/23 20:22:53,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,5.0,590.0,174.746
24,24,2025/03/23 20:23:11,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,6.0,590.0,174.746
25,25,2025/03/23 20:23:29,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,7.0,590.0,174.746
