shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,LocalVariables.DMDID,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.isUnloadReloadBI,LocalVariables.ShotTypeID,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.ScanID4,LocalVariables.XbarFrequency,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LatticeFreezeRampTime,LocalVariables.DMDID2,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower
13,13,2025/03/22 09:54:54,100.0,0.0,200.0,12.0,10.0,0,4.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
14,14,2025/03/22 09:55:12,100.0,0.0,200.0,12.0,10.0,0,5.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
15,15,2025/03/22 09:55:30,100.0,0.0,200.0,12.0,10.0,0,6.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
16,16,2025/03/22 09:55:48,100.0,0.0,200.0,12.0,10.0,0,7.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
17,17,2025/03/22 09:56:06,100.0,0.0,200.0,12.0,10.0,0,8.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
18,18,2025/03/22 09:56:24,100.0,0.0,200.0,12.0,10.0,0,0.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
19,19,2025/03/22 09:56:42,100.0,0.0,200.0,12.0,10.0,0,1.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
20,20,2025/03/22 09:57:01,100.0,0.0,200.0,12.0,10.0,0,2.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
21,21,2025/03/22 09:57:19,100.0,0.0,200.0,12.0,10.0,0,3.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,2.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
22,22,2025/03/22 09:57:37,100.0,0.0,200.0,12.0,10.0,0,4.0,0.0,163.4945,30.0,100.0,18.0,228.2,14.0,2.6,93.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.975,174.746,28.0,1.0,590.0,14.0,5.0,22.0,0.0,0.0,773.0,7.26,30.0,0.0,10.0,35.0
