shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,LocalVariables.ScanID4,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,LocalVariables.DMDID2,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.Dmd0SecondPatternFilename,LocalVariables.DMDID,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.ThirdDMD1RampPower,LocalVariables.XbarFrequency,LocalVariables.ShotTypeID,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime
13,13,2025/03/22 23:59:07,0.0,228.2,590.0,22.0,30.0,10.0,10.0,100.0,0.0,35.0,163.4945,0.0,8.64,18.0,0.975,200.0,1.0,14.0,100.0,0,14.0,12.0,93.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,28.0,174.746,1.0,30.0,2.0,773.0,4.0,0.0,5.0
14,14,2025/03/22 23:59:26,0.0,228.2,590.0,22.0,30.0,10.0,10.0,100.0,0.0,35.0,163.4945,0.0,8.64,18.0,0.975,200.0,1.0,14.0,100.0,0,14.0,12.0,93.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,28.0,174.746,2.0,30.0,2.0,773.0,5.0,0.0,5.0
15,15,2025/03/22 23:59:44,0.0,228.2,590.0,22.0,30.0,10.0,10.0,100.0,0.0,35.0,163.4945,0.0,8.64,18.0,0.975,200.0,1.0,14.0,100.0,0,14.0,12.0,93.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,28.0,174.746,1.0,30.0,2.0,773.0,6.0,0.0,5.0
16,16,2025/03/23 00:00:03,0.0,228.2,590.0,22.0,30.0,10.0,10.0,100.0,0.0,35.0,163.4945,0.0,8.64,18.0,0.975,200.0,1.0,14.0,100.0,0,14.0,12.0,93.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,28.0,174.746,2.0,30.0,2.0,773.0,7.0,0.0,5.0
17,17,2025/03/23 00:00:22,0.0,228.2,590.0,22.0,30.0,10.0,10.0,100.0,0.0,35.0,163.4945,0.0,8.64,18.0,0.975,200.0,1.0,14.0,100.0,0,14.0,12.0,93.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,28.0,174.746,1.0,30.0,2.0,773.0,8.0,0.0,5.0
18,18,2025/03/23 00:00:41,0.0,228.2,590.0,22.0,30.0,10.0,10.0,100.0,0.0,35.0,163.4945,0.0,8.64,18.0,0.975,200.0,1.0,14.0,100.0,0,14.0,12.0,93.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,28.0,174.746,0.0,30.0,2.0,773.0,0.0,0.0,5.0
19,19,2025/03/23 00:00:59,0.0,228.2,590.0,22.0,30.0,10.0,10.0,100.0,0.0,35.0,163.4945,0.0,8.64,18.0,0.975,200.0,1.0,14.0,100.0,0,14.0,12.0,93.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,28.0,174.746,2.0,30.0,2.0,773.0,1.0,0.0,5.0
20,20,2025/03/23 00:01:18,0.0,228.2,590.0,22.0,30.0,10.0,10.0,100.0,0.0,35.0,163.4945,0.0,8.64,18.0,0.975,200.0,1.0,14.0,100.0,0,14.0,12.0,93.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,28.0,174.746,1.0,30.0,2.0,773.0,2.0,0.0,5.0
21,21,2025/03/23 00:01:38,0.0,228.2,590.0,22.0,30.0,10.0,10.0,100.0,0.0,35.0,163.4945,0.0,8.64,18.0,0.975,200.0,1.0,14.0,100.0,0,14.0,12.0,93.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,28.0,174.746,2.0,30.0,2.0,773.0,3.0,0.0,5.0
22,22,2025/03/23 00:01:56,0.0,228.2,590.0,22.0,30.0,10.0,10.0,100.0,0.0,35.0,163.4945,0.0,8.64,18.0,0.975,200.0,1.0,14.0,100.0,0,14.0,12.0,93.0,b'250316_dmd0_iterative_compensation_pinning.pkl',0.0,28.0,174.746,1.0,30.0,2.0,773.0,4.0,0.0,5.0
