shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.ThirdDMD1RampPower,LocalVariables.ImagingBlowOutID
120,120,2025/06/13 12:59:51,0.0025,1.0
121,121,2025/06/13 13:00:09,0.0025,2.0
122,122,2025/06/13 13:00:28,0.0025,1.0
123,123,2025/06/13 13:00:46,0.0025,2.0
124,124,2025/06/13 13:01:04,0.0025,1.0
125,125,2025/06/13 13:01:23,0.0025,2.0
126,126,2025/06/13 13:01:41,0.0023,0.0
127,127,2025/06/13 13:01:59,0.0023,2.0
128,128,2025/06/13 13:02:17,0.0023,1.0
129,129,2025/06/13 13:02:35,0.0023,2.0
130,130,2025/06/13 13:02:53,0.0023,1.0
131,131,2025/06/13 13:03:12,0.0023,2.0
132,132,2025/06/13 13:03:30,0.0023,1.0
133,133,2025/06/13 13:03:48,0.0023,2.0
134,134,2025/06/13 13:04:06,0.0023,1.0
135,135,2025/06/13 13:04:25,0.0025,0.0
136,136,2025/06/13 13:04:43,0.0025,1.0
137,137,2025/06/13 13:05:01,0.0025,2.0
138,138,2025/06/13 13:05:19,0.0025,1.0
139,139,2025/06/13 13:05:38,0.0025,2.0
140,140,2025/06/13 13:05:56,0.0025,1.0
141,141,2025/06/13 13:06:14,0.0025,2.0
142,142,2025/06/13 13:06:32,0.0025,1.0
143,143,2025/06/13 13:06:51,0.0025,2.0
144,144,2025/06/13 13:07:09,0.0023,0.0
145,145,2025/06/13 13:07:28,0.0023,2.0
146,146,2025/06/13 13:07:46,0.0023,1.0
147,147,2025/06/13 13:08:04,0.0023,2.0
148,148,2025/06/13 13:08:23,0.0023,1.0
149,149,2025/06/13 13:08:41,0.0023,2.0
150,150,2025/06/13 13:08:59,0.0023,1.0
151,151,2025/06/13 13:09:18,0.0023,2.0
152,152,2025/06/13 13:09:36,0.0023,1.0
153,153,2025/06/13 13:09:54,0.0025,0.0
154,154,2025/06/13 13:10:12,0.0025,1.0
155,155,2025/06/13 13:10:31,0.0025,2.0
156,156,2025/06/13 13:10:49,0.0025,1.0
157,157,2025/06/13 13:11:07,0.0025,2.0
158,158,2025/06/13 13:11:26,0.0025,1.0
159,159,2025/06/13 13:11:44,0.0025,2.0
160,160,2025/06/13 13:12:02,0.0025,1.0
161,161,2025/06/13 13:12:20,0.0025,2.0
162,162,2025/06/13 13:12:39,0.0023,0.0
163,163,2025/06/13 13:12:57,0.0023,2.0
164,164,2025/06/13 13:13:15,0.0023,1.0
165,165,2025/06/13 13:13:34,0.0023,2.0
166,166,2025/06/13 13:13:52,0.0023,1.0
167,167,2025/06/13 13:14:10,0.0023,2.0
168,168,2025/06/13 13:14:29,0.0023,1.0
169,169,2025/06/13 13:14:47,0.0023,2.0
170,170,2025/06/13 13:15:05,0.0023,1.0
171,171,2025/06/13 13:15:24,0.0025,0.0
172,172,2025/06/13 13:15:42,0.0025,1.0
173,173,2025/06/13 13:16:00,0.0025,2.0
174,174,2025/06/13 13:16:18,0.0025,1.0
175,175,2025/06/13 13:16:37,0.0025,2.0
176,176,2025/06/13 13:16:55,0.0025,1.0
177,177,2025/06/13 13:17:14,0.0025,2.0
178,178,2025/06/13 13:17:32,0.0025,1.0
179,179,2025/06/13 13:17:50,0.0025,2.0
180,180,2025/06/13 13:18:08,0.0023,0.0
181,181,2025/06/13 13:18:27,0.0023,2.0
182,182,2025/06/13 13:18:45,0.0023,1.0
183,183,2025/06/13 13:19:03,0.0023,2.0
184,184,2025/06/13 13:19:22,0.0023,1.0
185,185,2025/06/13 13:19:40,0.0023,2.0
186,186,2025/06/13 13:19:58,0.0023,1.0
187,187,2025/06/13 13:20:16,0.0023,2.0
188,188,2025/06/13 13:20:35,0.0023,1.0
189,189,2025/06/13 13:20:53,0.0025,0.0
190,190,2025/06/13 13:21:11,0.0025,1.0
191,191,2025/06/13 13:21:30,0.0025,2.0
192,192,2025/06/13 13:21:48,0.0025,1.0
193,193,2025/06/13 13:22:06,0.0025,2.0
194,194,2025/06/13 13:22:25,0.0025,1.0
195,195,2025/06/13 13:22:43,0.0025,2.0
196,196,2025/06/13 13:23:01,0.0025,1.0
197,197,2025/06/13 13:23:20,0.0025,2.0
198,198,2025/06/13 13:23:38,0.0023,0.0
199,199,2025/06/13 13:23:56,0.0023,2.0
200,200,2025/06/13 13:24:15,0.0023,1.0
201,201,2025/06/13 13:24:33,0.0023,2.0
202,202,2025/06/13 13:24:51,0.0023,1.0
203,203,2025/06/13 13:25:09,0.0023,2.0
204,204,2025/06/13 13:25:28,0.0023,1.0
205,205,2025/06/13 13:25:46,0.0023,2.0
