shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.isUnloadReloadBI,LocalVariables.ScanID4,GlobalLatticeVariables2.SecondDMD1RampPower,LocalVariables.ImagingBlowOutID,LocalVariables.XbarFrequency,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.ShotTypeID,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,LocalVariables.DMDID2,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.ThirdDMD1RampPower,LocalVariables.DMDID,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent
13,13,2025/03/21 19:08:17,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,1.0,773.0,228.2,14.0,35.0,0.0,4.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
14,14,2025/03/21 19:08:36,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,2.0,773.0,228.2,14.0,35.0,0.0,5.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
15,15,2025/03/21 19:08:54,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,1.0,773.0,228.2,14.0,35.0,0.0,6.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
16,16,2025/03/21 19:09:12,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,2.0,773.0,228.2,14.0,35.0,0.0,7.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
17,17,2025/03/21 19:09:30,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,1.0,773.0,228.2,14.0,35.0,0.0,8.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
18,18,2025/03/21 19:09:48,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,0.0,773.0,228.2,14.0,35.0,0.0,0.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
19,19,2025/03/21 19:10:06,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,2.0,773.0,228.2,14.0,35.0,0.0,1.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
20,20,2025/03/21 19:10:24,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,1.0,773.0,228.2,14.0,35.0,0.0,2.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
21,21,2025/03/21 19:10:43,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,2.0,773.0,228.2,14.0,35.0,0.0,3.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
22,22,2025/03/21 19:11:01,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,1.0,773.0,228.2,14.0,35.0,0.0,4.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
23,23,2025/03/21 19:11:19,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,2.0,773.0,228.2,14.0,35.0,0.0,5.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
24,24,2025/03/21 19:11:37,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,1.0,773.0,228.2,14.0,35.0,0.0,6.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
25,25,2025/03/21 19:11:56,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,2.0,773.0,228.2,14.0,35.0,0.0,7.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
26,26,2025/03/21 19:12:14,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,1.0,773.0,228.2,14.0,35.0,0.0,8.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
