shot_idx,shot_serial,shot_start_time,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,LocalVariables.XbarFrequency,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.FourthDMD0RampPower,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,LocalVariables.ScanID4,LocalVariables.DMDID,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,LocalVariables.DMDID2,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,LocalVariables.ShotTypeID,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency
13,13,2025/03/22 20:20:25,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,4.0,100.0
14,14,2025/03/22 20:20:44,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,5.0,100.0
15,15,2025/03/22 20:21:03,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,6.0,100.0
16,16,2025/03/22 20:21:22,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,7.0,100.0
17,17,2025/03/22 20:21:42,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,8.0,100.0
18,18,2025/03/22 20:22:01,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,0.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,0.0,100.0
19,19,2025/03/22 20:22:20,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,1.0,100.0
20,20,2025/03/22 20:22:39,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,2.0,100.0
21,21,2025/03/22 20:22:59,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,3.0,100.0
22,22,2025/03/22 20:23:18,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,4.0,100.0
23,23,2025/03/22 20:23:38,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,5.0,100.0
24,24,2025/03/22 20:23:57,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,6.0,100.0
25,25,2025/03/22 20:24:16,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,7.0,100.0
26,26,2025/03/22 20:24:35,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,8.0,100.0
27,27,2025/03/22 20:24:54,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,0.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,0.0,100.0
28,28,2025/03/22 20:25:13,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,1.0,100.0
29,29,2025/03/22 20:25:32,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,2.0,100.0
30,30,2025/03/22 20:25:51,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,3.0,100.0
31,31,2025/03/22 20:26:11,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,1.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,4.0,100.0
32,32,2025/03/22 20:26:30,228.2,590.0,200.0,0,14.0,12.0,14.0,773.0,5.0,18.0,7.26,2.0,2.0,30.0,0.0,0.0,163.4945,10.0,0.0,1.0,10.0,0.975,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',30.0,0.0,174.746,93.0,0.0,22.0,35.0,150.0,5.0,100.0
